title,context,question,answer,fluent(something you could say in the languege),correct answer,correct gramatically(correct way to answer the question),,,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Paul Walker,"Walker zginął w czasie, kiedy nie zakończono jeszcze zdjęć do Szybkich i wściekłych 7, w tym scen z udziałem jego postaci. Reżyser projektu wyjawił podczas konferencji prasowej, że film zostanie ukończony, jednak ze względu na żałobę jego produkcja została tymczasowo wstrzymana. W niezrealizowanych scenach z postacią Walkera zastąpiony został on przez swoich młodszych braci. Dzięki wykorzystaniu technik komputerowych i zarejestrowanych wypowiedzi Walkera postać Briana O’Connera wyglądała i brzmiała jak Walker.",Czy Walker zmarł w trakcie nagrań realizacji filmowej?,"{'text': ['Walker zginął w czasie, kiedy nie zakończono jeszcze zdjęć do Szybkich i wściekłych 7'], 'answer_start': [0]}",1,1,1,,,"Musiała spędzić wiele miesięcy w szpitalu i nie była w stanie promować albumu, który ostatecznie nie sprzedał się dobrze po żadnej stronie Atlantyku",Czy mimo jej problemów album Secret Passion odniósł sukces sprzedażowy?,"Oczywiście bardziej skomplikowana wersja zdania brzmi: ""Mimo jej problemów album Secret Passion odniósł sukces sprzedażowy, a jego sprzedaż przekroczyła milion egzemplarzy w pierwszym tygodniu"".",1-0-1,Czy pomimo jej trudności album Secret Passion był hitem?,"Tak, był to jeden z największych albumów wszech czasów.",1-0-1,Czy mimo jej problemuw album Secret Passion odnióśł sukces sprzedażowy?,"Oczywiście bardziej skomplikowana wersja zdania brzmi: ""Mimo jej problemuw album Secret Passion odniół sukces sprzedażowy, a jego sprzedaż była około miliona egzemplarzy"".",0-0-1,"Czy Secret Passion sprzedał się dobrze, mimo problemów?","Tak, Secret Passion sprzedał się dobrze, mimo problemów. Był to jeden z najbardziej popularnych filmów wszech czasów, sprzedający się w ponad 200 krajach i posiadający ponad 100 milionów egzemplarzy. Film był również krytykowany za jego słabe wyniki finansowe i problemy z utrzymaniem.",0-0-1,Czy mimo jej issues album Secret Passion odniósł sales sukces?,"Tak, album Secret Passion osiągnął status złotej płyty, sprzedając się w ponad milionie egzemplarzy.",1-0-1
Paul Walker,"Walker zginął w czasie, kiedy nie zakończono jeszcze zdjęć do Szybkich i wściekłych 7, w tym scen z udziałem jego postaci. Reżyser projektu wyjawił podczas konferencji prasowej, że film zostanie ukończony, jednak ze względu na żałobę jego produkcja została tymczasowo wstrzymana. W niezrealizowanych scenach z postacią Walkera zastąpiony został on przez swoich młodszych braci. Dzięki wykorzystaniu technik komputerowych i zarejestrowanych wypowiedzi Walkera postać Briana O’Connera wyglądała i brzmiała jak Walker.",Kto zastąpił Walkera w filmie?,"{'text': ['braci'], 'answer_start': [371]}",1,1,1,,,"cierpienia kobiety nieśmiertelnej i wiecznie młodej, która stopniowo traciła swoich przyjaciół i nie mogła zatrzymać upływu czasu",O czym miała opowiadać jej książka L'Immortelle?,"L'Immortelle to książka napisana przez Gabrielle Anwar, która została wydana w formie opowiadania w 2006 roku. Opowiada o młodej kobiecie, która zostaje uwięziona w tajemniczym mieście i musi stawić czoła nowym wyzwaniom.",1-0-1,Jaki temat poruszała jej powieść L'Immortelle?,Temat poruszany w powieści L'Immortelle to śmierć i śmiertelne cierpienie.,1-1-1,O czym miała opwiadać jej książka L'Immortelle?,"O kobiecie, która została zabita przez swojego męża, by uzyskać tytuł immortal, czyli nieśmiertelny.",1-0-1,Czego dotyczyła książka L'Immortelle?,"L'Immortelle to książka napisana przez Marcela Prousta, która opowiada o młodej kobiecie, która zostaje porwana przez tajemniczą siłę, która ukrywa się w lesie. Książka została wydana w formie powieści w formie opowiadania w formie opowiadania w formie opowiadania w formie opowiadania w formie opowiadania w formie opowiadania w formie opowiadania w formie opowiadania w formie",0-0-1,O czym miała opowiadać jej book L'Immortelle?,"L'Immortelle to książka napisana przez francuską pisarkę i poetkę Louise Labé. Książka opowiada o młodej kobiecie, która zostaje uwięziona w tajemniczym i pięknym zamku. Książka została wydana w formie opowiadania w języku francuskim w 1852 roku i stała się bestsellerem.",1-0-1
Paul Walker,"Walker zginął w czasie, kiedy nie zakończono jeszcze zdjęć do Szybkich i wściekłych 7, w tym scen z udziałem jego postaci. Reżyser projektu wyjawił podczas konferencji prasowej, że film zostanie ukończony, jednak ze względu na żałobę jego produkcja została tymczasowo wstrzymana. W niezrealizowanych scenach z postacią Walkera zastąpiony został on przez swoich młodszych braci. Dzięki wykorzystaniu technik komputerowych i zarejestrowanych wypowiedzi Walkera postać Briana O’Connera wyglądała i brzmiała jak Walker.",W jaki sposób uzyskano wiarygodną kopię postaci Walkera po jego śmierci?,"{'text': ['Dzięki wykorzystaniu technik komputerowych i zarejestrowanych wypowiedzi Walkera'], 'answer_start': [378]}",1,1,1,,,Barbary Tylickiej,W czyjej książce pojawiły się grafiki stworzone przez Chmielewskiego?,Ogniem i mieczem Henryka Sienkiewicza.,1-0-1,Kto w swojej książce umieścił ilustracje Chmielewskiego?,Autorem jest Aleksander Dumas.,0-0-1,W czyjej książc pojawiły się grafik stworzone przez Chmielewskiego?,"W książce ""Pieśń Lodu i Ognia"" Henryka Sienkiewicza.",1-0-1,Która publikacja zawiera prace Chmielewskiego?,"Chmielewska, Anna. ""Historia Polski od średniowiecza do końca XIX wieku"". T. 1. Warszawa: Państwowe Wydawnictwo Naukowe, 1983.",1-0-1,W czyjej książce pojawiły się graphics stworzone przez Chmielewskiego?,"Pieśń Lodu i Ognia to książka napisana przez Jerzego Chmielewskiego, która została wydana w 2015 roku.",1-0-1
Paul Walker,"30 listopada 2013 roku Walker brał udział w aukcji charytatywnej założonej przez niego organizacji Reach Out Worldwide, prowadzącej zbiórkę pieniędzy na rzecz ofiar tajfunu Haiyan. Około godziny 15.30 (00.30 czasu polskiego) wraz z Rogerem Rodasem, będącym jego doradcą finansowym i współzałożycielem organizacji, wybrał się na przejażdżkę Porsche Carrerą GT, stanowiącym główną atrakcję aukcji. Kierujący samochodem Rodas, wskutek nadmiernej prędkości, stracił panowanie nad maszyną, która uderzyła w latarnię i w drzewo, a następnie stanęła w płomieniach. Obaj zginęli. Po przeprowadzonej sekcji zwłok aktora okazało się, że Paul Walker zmarł na skutek urazów i poparzeń odniesionych w wypadku – poinformował koroner z Los Angeles. Przyczyną śmierci jest wynik połączonych efektów traumatycznych i termicznych obrażeń ciała..",Udziałowcem jakiej organizacji był Roger Rodas?,"{'text': ['Reach Out Worldwide'], 'answer_start': [99]}",1,1,1,,,"wprowadziła do obiegu znaczki pocztowe z Tytusem, Romkiem i A’Tomkiem, a także kolekcjonerską kopertę FDC",W jaki sposób Poczta Polska uhonorowała dokonania Chmielewskiego w 2009 roku?,W 2009 roku Poczta Polska uhonorowała dokonania Chmielewskiego w następujący sposób: - wręczyła mu Medal Honorowy im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława,0-0-1,Jak Poczta Polska wyróżniła zasługi Chmielewskiego w 2009 roku?,Nagroda im. Jana Chmielewskiego.,0-0-1,W jki sposób Poczta Polska uhonorwała dokonania Chmielewskiego w 2009 roku?,W 2009 roku Poczta Polska uhonorowała dokonania Chmielewskiego w następujący sposób: - wręczyła mu Medal Honorowy im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława Chmielewskiego - wręczyła mu Medal Zasługi im. Stanisława,0-0-1,Jakie działania podjęła Poczta Polska w 2009 na rzecz Chmielewskiego?,"W 2009 roku Poczta Polska podjęła szereg działań na rzecz Chmielewskiego. Wśród nich: - uruchomienie nowej linii pocztowej w Gdańsku, - uruchomienie nowej linii pocztowej w Krakowie, - uruchomienie nowej linii pocztowej w Warszawie, - uruchomienie nowej linii pocztowej w Szczecinie, - uruchomienie nowej linii pocztowej w Gdańsku, - uruchomienie nowej linii pocztowej w Krakowie",0-0-1,W jaki sposób Polish Post uhonorowała dokonania Chmielewskiego w 2009 roku?,"W 2009 roku Polish Post uhonorowała dokonania Chmielewskiego następującymi nagrodami: nagrodą im. Henryka Sienkiewicza, nagrodą im. Henryka Sienkiewicza za osiągnięcia w dziedzinie literatury i sztuki, nagrodą im. Henryka Sienkiewicza za osiągnięcia w dziedzinie kultury, nagrodą im. Henryka Sienkiewicza za osiągnięcia w dziedzinie sztuki i kultury, nagrodą im. Henryka Sienkiewicza za osiągnięcia",0-0-1
Paul Walker,"30 listopada 2013 roku Walker brał udział w aukcji charytatywnej założonej przez niego organizacji Reach Out Worldwide, prowadzącej zbiórkę pieniędzy na rzecz ofiar tajfunu Haiyan. Około godziny 15.30 (00.30 czasu polskiego) wraz z Rogerem Rodasem, będącym jego doradcą finansowym i współzałożycielem organizacji, wybrał się na przejażdżkę Porsche Carrerą GT, stanowiącym główną atrakcję aukcji. Kierujący samochodem Rodas, wskutek nadmiernej prędkości, stracił panowanie nad maszyną, która uderzyła w latarnię i w drzewo, a następnie stanęła w płomieniach. Obaj zginęli. Po przeprowadzonej sekcji zwłok aktora okazało się, że Paul Walker zmarł na skutek urazów i poparzeń odniesionych w wypadku – poinformował koroner z Los Angeles. Przyczyną śmierci jest wynik połączonych efektów traumatycznych i termicznych obrażeń ciała..",Jakie były konsekwencje wypadku dla biorących w nim udział Walkera i Rodasa?,"{'text': ['zginęli'], 'answer_start': [563]}",1,1,1,,,Judd,Jaki silnik zasilał model F190 począwszy od wyścigu w Portugalii?,"Wyścig w Portugalii był pierwszym wyścigiem, w którym Ferrari zaprezentowało silnik V12, który był zaprojektowany do zasilania mo       delu F190. Silniki V12 były zaprojektowane do zasilania samochodów wyścigowych Ferrari, a Ferrari miało wiele modeli F190, które były zaprojektowane do zasilania silnika V12. Wyścig w Portugalii był pierwszym wyścigiem, w którym Ferrari zaprezentowało silnik V12, który był zaprojektowany do zasi",0-0-1,Który silnik napędzał F190 od zawodów w Portugalii?,"Wyścig w Portugalii był pierwszym wyścigiem, w którym Ferrari F190 nie był napędzany przez silnik V12, który był napędzany przez silnik V12, który był napędzany przez silnik V12, który był napędzany przez silnik V12.",0-0-1,Jaki silik zasilał model F190 począwszy od wyscigu w Portugali?,- Model F1 Lotusa.,1-0-1,Jaki był nowy silnik F190 od wyścigu w portugalii?,Grand Prix Niemiec,1-0-1,Jaki engine zasilał model F190 począwszy od wyścigu w Portugalii?,"Wyścig w Portugalii był pierwszym wyścigiem, w którym Ferrari F190 został zastąpiony silnikiem V12, który był zaprojektowany przez Fernando Alonso.",0-0-1
Paul Walker,"30 listopada 2013 roku Walker brał udział w aukcji charytatywnej założonej przez niego organizacji Reach Out Worldwide, prowadzącej zbiórkę pieniędzy na rzecz ofiar tajfunu Haiyan. Około godziny 15.30 (00.30 czasu polskiego) wraz z Rogerem Rodasem, będącym jego doradcą finansowym i współzałożycielem organizacji, wybrał się na przejażdżkę Porsche Carrerą GT, stanowiącym główną atrakcję aukcji. Kierujący samochodem Rodas, wskutek nadmiernej prędkości, stracił panowanie nad maszyną, która uderzyła w latarnię i w drzewo, a następnie stanęła w płomieniach. Obaj zginęli. Po przeprowadzonej sekcji zwłok aktora okazało się, że Paul Walker zmarł na skutek urazów i poparzeń odniesionych w wypadku – poinformował koroner z Los Angeles. Przyczyną śmierci jest wynik połączonych efektów traumatycznych i termicznych obrażeń ciała..","Jakie auto prowadził Rodas, gdy doszło do tragicznego zdarzenia drogowego?","{'text': ['Porsche Carrerą GT'], 'answer_start': [340]}",1,1,1,,,braci,Kto zastąpił Walkera w filmie?,Hugo Weaving,1-0-1,Kto przejął rolę Walkera w filmie?,Hugo Weaving,1-0-1,Kto zastapił Walkera w filie?,Brian Bellows,1-0-1,Kto zagrał zamiast Walkera?,Bobby Cox.,1-0-1,Kto replaced Walkera w filmie?,"- No, nie.",0-0-1
Paul Walker,"30 listopada 2013 roku Walker brał udział w aukcji charytatywnej założonej przez niego organizacji Reach Out Worldwide, prowadzącej zbiórkę pieniędzy na rzecz ofiar tajfunu Haiyan. Około godziny 15.30 (00.30 czasu polskiego) wraz z Rogerem Rodasem, będącym jego doradcą finansowym i współzałożycielem organizacji, wybrał się na przejażdżkę Porsche Carrerą GT, stanowiącym główną atrakcję aukcji. Kierujący samochodem Rodas, wskutek nadmiernej prędkości, stracił panowanie nad maszyną, która uderzyła w latarnię i w drzewo, a następnie stanęła w płomieniach. Obaj zginęli. Po przeprowadzonej sekcji zwłok aktora okazało się, że Paul Walker zmarł na skutek urazów i poparzeń odniesionych w wypadku – poinformował koroner z Los Angeles. Przyczyną śmierci jest wynik połączonych efektów traumatycznych i termicznych obrażeń ciała..","Jaka była przyczyna wypadku, w którym uczestniczyli Walker i Rodas?","{'text': ['nadmiernej prędkości'], 'answer_start': [432]}",1,1,1,,,Dzięki wykorzystaniu technik komputerowych i zarejestrowanych wypowiedzi Walkera,W jaki sposób uzyskano wiarygodną kopię postaci Walkera po jego śmierci?,"- Nie, nie.",0-0-1,Jak stworzono realistyczny model Walkera po jego zgonie?,"W rzeczywistości, był to bardzo trudny proces, ponieważ ciało Walkera było bardzo podobne do ciała człowieka, a jego ciało było bardzo podobne do ciała człowieka. Aby stworzyć realistyczny model Walkera, naukowcy wykorzystali wiele technik, w tym: 1. Własne Komputerowe modelowanie ciała: naukowcy wykorzystali wiele technik komputerowych do modelowania ciała Walkera, w tym użycie zaawansowanych algorytmów i technik o",0-0-1,W jaki sposob uzyskano wiarygodna kopię postaci Walkera po jeog śmierci?,"Jest to możliwe dzięki zaawansowanym technologiom, które pozwalają na uzyskanie wiarygodnej kopii postaci po jej śmierci.",1-1-1,Jak powstała cyfrowa wersja Walkera po jego śmierci?,"W rzeczywistości, jego ciało zostało umieszczone w Muzeum Walkera w Cincinnati, gdzie można zobaczyć jego prace i jego pamięć.",1-0-1,W jaki sposób uzyskano real-looking kopię postaci Walkera po jego śmierci?,"Aby uzyskać real-looking kopię postaci Walkera po jego śmierci, naukowcy wykorzystali technikę o nazwie ""fuzja ciała"". Ta technika polega na połączeniu ciała człowieka z materiałem sztucznym, takim jak kości lub tkanki, i utworzeniu nowego ciała, które jest podobne do ciała człowieka. Następnie naukowcy wykorzystali ten nowy ciało do tworzenia nowego ciała, które jest podobne do",0-0-1
Wojny perskie,"Po Termopilach Grecja Środkowa stanęła dla Persów otworem. Wiele polis, bezbronnych wobec ogromnej armii, opowiedziało się po stronie Wielkiego Króla (m.in. Teby i inne polis Beocji). Ateńczycy postanowili zrezygnować z obrony swojego miasta – ludność wraz z dobytkiem ewakuowali na wyspę Salaminę, a flotę Związku (powiększoną o posiłki i rezerwy) umieścili w cieśninie między wyspą a Attyką. Część armii greckiej rozpoczęła przygotowania do obrony na Istmie Korynckim. W obozie greckim nadal występowała rozbieżność opinii co do sposobu walki. Polis z Peloponezu chciały wycofać swoje statki dalej na południe i bronić się na Istmie. Temistokles zdawał sobie sprawę, że flota grecka tylko w całości może stawić czoła liczniejszej perskiej i rozproszenie greckich sił na morzu skończyłoby się katastrofą. Groził swoim sprzymierzeńcom, że jeśli odpłyną spod Salaminy, Ateńczycy pożeglują na swoich statkach do Italii, by tam założyć nowe polis, pozostawiając resztę Grecji na łaskę Persów.",Za jaką strategią walki optowały miasta z Peleponezu?,"{'text': ['chciały wycofać swoje statki dalej na południe i bronić się na Istmie'], 'answer_start': [565]}",1,1,1,,,chciały wycofać swoje statki dalej na południe i bronić się na Istmie,Za jaką strategią walki optowały miasta z Peleponezu?,Optowali za strategią polegającą na jednoczesnym stosowaniu broni jądrowej i artylerii.,1-0-1,Jaką taktykę bojową wybrały miasta z Peleponezu?,"Były to miasta, które miały wiele strategicznych sił i które miały wiele możliwości taktycznych. Najważniejszą strategią było użycie broni ręcznej, ponieważ była to najtańsza i najbardziej wydajna forma broni. Były również uzbrojone w wiele rodzajów broni, w tym w łuk, łuk i łuk. Były również uzbrojone w wiele rodzajów broni, w tym w łuk,",0-0-1,Za jaką strategia walki optowały miatsa z Peleponezu?,"Miatsa z Peleponezu byli znanym i uważanym za najbardziej skutecznego i skutecznego wojownika w okresie starożytnej Grecji. Miatsa z Peleponezu byli znani ze swojej skuteczności i skuteczności w walce, a także ze swojej zdolności do prowadzenia szybkich i skutecznych działań. Miatsa z Peleponezu byli również znani ze swojej zdolności do prowadzenia szybkich i skutecznych działań, a także ze swo",0-0-1,Jaką metodę walki preferowały miasta Peleponezu?,Walka była głównym sposobem prowadzenia działalności gospodarczej i politycznej miast Peleponezu.,1-0-1,Za jaką fighting strategią optowały miasta z Peleponezu?,Optowali za strategią polegającą na jednoczesnym stosowaniu sił lądowych i morskich.,1-1-1
Przemysław Płacheta,"W styczniu 2015 został zawodnikiem seniorskiej drużyny Polonii Warszawa, przestał być zawodnikiem tego klubu 26 sierpnia 2015, kiedy to został sprzedany do młodzieżowej drużyny RB Leipzig. 1 lipca 2017 został zawodnikiem Sonnenhof Großaspach. 10 stycznia 2018 dołączył do Pogoni Siedlce. W tej drużynie zagrał w 11 meczach I ligi, w których strzelił 2 gole. 5 lipca 2018 dołączył do Podbeskidzia Bielsko-Biała. 1 lipca 2019 przeszedł do Śląska Wrocław. W zespole Śląska zagrał w 35 meczach, w których strzelił 8 goli i zaliczył 5 asyst. 22 lipca 2020 został sprzedany do Norwich City F.C. za ok. 2,5 miliona euro. 19 września 2020 zdobył swojego pierwszego gola dla tej drużyny.",Jaką kwotę zapłacił za Przemysława Płachetę zespół Norwich City FC?,"{'text': ['ok. 2,5 miliona euro'], 'answer_start': [592]}",1,1,1,,,"ok. 2,5 miliona euro",Jaką kwotę zapłacił za Przemysława Płachetę zespół Norwich City FC?,Za Przemysława Płachetę zespół Norwich City FC zapłacił około miliona funtów.,1-0-1,Ile pieniędzy zapłacił klub Norwich za Przemysława Płachetę?,4 miliony funtów.,1-0-1,Jaką kwot zapłacił za Przemysława Płachetę zespół Norwch City FC?,Za Przemysława Płachetę zespół Norwch City FC zapłacił około miliona funtów.,1-0-1,Na jaką sumę wyceniono transfer Płachety do Norwich?,4 miliony funtów.,1-0-1,Jaką amount zapłacił za Przemysława Płachetę zespół Norwich City FC?,Za Przemysława Płachetę zespół Norwich City FC zapłacił około miliona funtów.,1-0-1
Juan Carlos I (2008),"„Juan Carlos I” stał się największym okrętem w dziejach marynarki hiszpańskiej i największym zbudowanym w Hiszpanii. Zastąpił w służbie dwa stare okręty desantowe „Hernán Cortés” (L41) i „Pizarro” (L42) amerykańskiego typu Newport. Początkowo wspierał działania lotnicze jedynego hiszpańskiego lekkiego lotniskowca „Principe de Asturias”, a po jego wycofaniu ze służby w 2013 roku, przejął część obowiązków lotniskowca. Podkreśla się jednak, że traktowanie okrętu jako pełnowartościowego lekkiego lotniskowca jest utrudnione z uwagi na rozwijaną zbyt małą prędkość. Projekt „Juana Carlosa I” został jednak uznany za udany okręt uniwersalny i oparto na nim następnie dwa okręty desantowe typu Canberra („Canberrra” i „Adelaide”) dla Królewskiej Marynarki Australijskiej, a w 2016 roku rozpoczęto budowę także „Anadolu” dla Tureckiej Marynarki Wojennej. Hiszpania zamierzała początkowo zbudować drugi okręt tego typu, lecz plany te zarzucono w 2014 roku z powodów oszczędności.",Dlaczego „Juan Carlos I” nie powinien być określany mianem pełnowartościowego lekkiego lotniskowca?,"{'text': ['z uwagi na rozwijaną zbyt małą prędkość'], 'answer_start': [525]}",1,1,1,,,z uwagi na rozwijaną zbyt małą prędkość,Dlaczego „Juan Carlos I” nie powinien być określany mianem pełnowartościowego lekkiego lotniskowca?,"Jest to okręt o średniej wielkości, który służy do przewozu ludzi i towarów. Nie jest odpowiedni do przewozu ciężkich ładunków, takich jak czołgi lub samoloty. Jest to okręt o średniej wielkości, który służy do przewozu ludzi i towarów. Nie jest odpowiedni do przewozu ciężkich ładunków, takich jak czołgi lub samoloty. Jest to okręt o średniej wielkości, który",0-0-1,Czemu „Juan Carlos I” nie jest uznawany za pełny lekki lotniskowiec?,"Jest to określenie używane do określenia okrętu o średnicy większej niż okręt średniej wielkości. Okręty średniej wielkości są zazwyczaj większe i cięższe niż okręty średniej wielkości, ponieważ są większe i cięższe niż okręty średniej wielkości. Okręty średniej wielkości są również większe i cięższe niż okręty średniej wielkości, ponieważ są większe i cięższe",0-0-1,Dlaczego „Juan Carlos I” nie powinien być określany mniem pełnowartościowego lekkiego lotniskowca?,"Jest to okręt o średniej wielkości, który służy do przewozu ludzi i towarów. Nie jest pełnowartościowym okrętem wojennym, ponieważ nie ma wystarczającej ilości mocy, aby utrzymać ludzi i towary.",0-0-1,Z jakiego powodu „Juan Carlos I” nie spełnia definicji lotniskowca?,"Jest to statek handlowy, a nie lotniskowiec.",1-0-1,Dlaczego „Juan Carlos I” nie powinien być określany mianem full carrier?,"Jest to okręt o pełnym zasięgu, który może przewozić do 4.000 ludzi. Jest to okręt o średniej wielkości, który jest odpowiedni dla okrętów o średniej wielkości. Jest to okręt o średniej wielkości, który jest odpowiedni dla okrętów o średniej wielkości. Jest to okręt o średniej wielkości, który jest odpowiedni dla okrętów o średniej wielkości. Jest to o",0-0-1
Juan Carlos I (2008),"„Juan Carlos I” stał się największym okrętem w dziejach marynarki hiszpańskiej i największym zbudowanym w Hiszpanii. Zastąpił w służbie dwa stare okręty desantowe „Hernán Cortés” (L41) i „Pizarro” (L42) amerykańskiego typu Newport. Początkowo wspierał działania lotnicze jedynego hiszpańskiego lekkiego lotniskowca „Principe de Asturias”, a po jego wycofaniu ze służby w 2013 roku, przejął część obowiązków lotniskowca. Podkreśla się jednak, że traktowanie okrętu jako pełnowartościowego lekkiego lotniskowca jest utrudnione z uwagi na rozwijaną zbyt małą prędkość. Projekt „Juana Carlosa I” został jednak uznany za udany okręt uniwersalny i oparto na nim następnie dwa okręty desantowe typu Canberra („Canberrra” i „Adelaide”) dla Królewskiej Marynarki Australijskiej, a w 2016 roku rozpoczęto budowę także „Anadolu” dla Tureckiej Marynarki Wojennej. Hiszpania zamierzała początkowo zbudować drugi okręt tego typu, lecz plany te zarzucono w 2014 roku z powodów oszczędności.",Kiedy lotniskowiec „Principe de Asturias” zakończył swoją służbę?,"{'text': ['w 2013 roku'], 'answer_start': [369]}",1,1,1,,,w 2013 roku,Kiedy lotniskowiec „Principe de Asturias” zakończył swoją służbę?,W dniu 31 grudnia 2003 roku.,1-0-1,W którym roku lotniskowiec „Principe de Asturias” został wycofany?,W 2006 roku.,1-0-1,Kiedy lotniskowiec „Principe de Asturis” zakończył swoją służbe?,W dniu 31 grudnia 2003 roku.,1-0-1,W jakim momencie przestał działać „Principe de Asturias”?,W 2003 roku.,1-0-1,Kiedy lotniskowiec „Principe de Asturias” ended swoją służbę?,W dniu 31 grudnia 2003 roku.,1-0-1
III Rzeczpospolita,"Wybory parlamentarne przeprowadzone 9 października 2011 wygrała PO, uzyskując 39,18% głosów, co dało 207 mandatów w sejmie. Drugie miejsce zajęło PiS, które zdobyło 29,89% głosów, co dało 157 posłów. Kolejne miejsca zajął Ruch Palikota, zdobywając 10,02% głosów – 40 mandatów. Do Sejmu weszło też PSL, uzyskując 8,36% głosów – 28 mandatów i SLD, uzyskując 8,24% głosów, co dało 27 mandatów poselskich. PO utworzyła ponownie rząd w koalicji z PSL. Premierem nowego rządu powtórnie został Donald Tusk, a prezes PSL Waldemar Pawlak znów został wicepremierem i ministrem gospodarki. W Senacie bezwzględną większość mandatów, tak, jak w poprzednich wyborach, zdobyła PO.",Jaka partia wygrała wybory w 2011 roku?,"{'text': ['PO'], 'answer_start': [64]}",1,1,1,,,PO,Jaka partia wygrała wybory w 2011 roku?,"Partia Pracy i Sprawiedliwości (PSL) była jedyną partią, która wygrała wybory w 2011 roku.",1-0-1,Która frakcja zwyciężyła w wyborach 2011?,Demokratyczna Partia i Partia Konserwatywna zwyciężyły w wyborach w 2011 roku.,1-0-1,Jaka partia wygrała wybory w 201 rok?,Demokratyczna Partia i Republikanie wygrali wybory w 201 roku.,1-0-1,Kto wygrał wybory parlamentarne w 2011 roku?,W wyborach parlamentarnych w 2011 roku zwyciężyła Partia Pracy (PP).,1-0-1,Jaka party wygrała wybory w 2011 roku?,Partia Pracy i Społeczna (PPS) i Partia Konserwatywna (KNP) wygrały wybory parlamentarne w 2011 roku.,0-0-1
III Rzeczpospolita,"Wybory parlamentarne przeprowadzone 9 października 2011 wygrała PO, uzyskując 39,18% głosów, co dało 207 mandatów w sejmie. Drugie miejsce zajęło PiS, które zdobyło 29,89% głosów, co dało 157 posłów. Kolejne miejsca zajął Ruch Palikota, zdobywając 10,02% głosów – 40 mandatów. Do Sejmu weszło też PSL, uzyskując 8,36% głosów – 28 mandatów i SLD, uzyskując 8,24% głosów, co dało 27 mandatów poselskich. PO utworzyła ponownie rząd w koalicji z PSL. Premierem nowego rządu powtórnie został Donald Tusk, a prezes PSL Waldemar Pawlak znów został wicepremierem i ministrem gospodarki. W Senacie bezwzględną większość mandatów, tak, jak w poprzednich wyborach, zdobyła PO.",Ile mandatów w sejmie zdobyli członkowie partii PO w 2011 roku?,"{'text': ['207'], 'answer_start': [101]}",1,1,1,,,207,Ile mandatów w sejmie zdobyli członkowie partii PO w 2011 roku?,W 2011 roku członkowie partii PO zdobyli 51 mandatów w sejmie.,1-0-1,Ilu posłów z PO dostało się do Sejmu w 2011?,W 2011 roku do Sejmu wybrano PiS - PiS otrzymało 226 posłów (stan na 31 grudnia 2011).,0-0-1,Ile mandatuw w sejmie zdobyli członkowie partii PO w 2011 roku?,W 2011 roku członkowie partii PO zdobyli 51 mandatów w sejmie.,1-0-1,Ilu reprezentantów PO zasiadło w Sejmie po wyborach 2011?,231,1-0-1,Ile seats w sejmie zdobyli członkowie partii PO w 2011 roku?,W 2011 roku członkowie partii PO zdobyli 51 miejsc w Sejmie.,1-0-1
